Expression,Type,Source sentence,Meaning / Nuance,My sentence,Status
enforcement knowledge,phrase,I wonder if the gap is actually shrinking or if enforcement knowledge will remain stubbornly local.,法律・規制・ルールが実際にどう運用・執行されるかについての実務知識。条文上の理解ではなく、現地当局・業界慣行・処分実例などを含むローカルな知識。,Enforcement knowledge is still very local in Japan.,Active
stubbornly local,phrase,enforcement knowledge will remain stubbornly local.,なかなか一般化・グローバル化されず、現地特有のまま残るニュアンス。少し「しぶとく残る」という含み。,Some business practices remain stubbornly local.,Active
stack,word,she doesnt have a stack yet,IT・就職文脈では、技術スキル、経験、語学力などを含む候補者としての武器一式。ここでは単なる技術スタックより広い意味。,She has a strong stack for a junior role.,Active
strong base stack for juniors,phrase,strong base stack for juniors (no aws yet),ジュニア職として評価される基礎的な技術・スキルセットがあるという意味。AWSはまだないが、基礎は固いというニュアンス。,He has a strong base stack for a junior developer role.,Active
How would she fare in those conditions?,sentence pattern,How would she fare in those conditions?,その条件で彼女はどの程度通用するか、うまくやっていけるか、見込みはどうかを聞く表現。fairではなくfare。,How would this product fare in the Japanese market?,Script
fare,word,How would she fare in those conditions?,「うまくやる」「通用する」「結果がどうなる」という意味の動詞。就職・市場・競争環境などで使える。,How would we fare against local competitors?,Active
influx,word,Does anyone know what's causing the sudden influx of Japanese markets?,人・企業・店舗・お金などが一気に流入すること。ここでは日本系マーケットが急に増えている現象。,We are seeing an influx of foreign SaaS companies entering Japan.,Active
sudden influx of Japanese markets,phrase,what's causing the sudden influx of Japanese markets?,日本系スーパー・日本食材店のような店舗が急に街に増えていること。やや現象分析っぽい言い方。,The sudden influx of AI tools changed the competitive landscape.,Active
indifferently belligerent,phrase,I'm just indifferently belligerent back.,感情的に怒るというより、冷めた態度で喧嘩腰・攻撃的に返すニュアンス。かなり口語的で癖のある表現。,-,Passive
belligerent,word,I'm just indifferently belligerent back.,攻撃的な、喧嘩腰の、敵対的な。ビジネスでは強すぎる表現なので通常は受動理解でよい。,-,Passive
as in,phrase,"as in, a teaching license in English, conferred to me by the nation of Japan, not a license to teach Japanese",誤解されそうな言葉を「つまり」「ここで言っているのは」と補足説明する表現。,"We need local support, as in someone who can handle Japanese customer communication.",Script
conferred to me by,phrase,conferred to me by the nation of Japan,資格・称号・学位などが正式に授与されたという意味。ややフォーマル。,-,Passive
below the belt,idiom,Hahaha below the belt.,ボクシング由来で、反則気味・卑怯・言いすぎ・痛いところを突くという意味。笑いがあるので「それは反則だろ（笑）」に近い。,That comment was a bit below the belt.,Active
clique-y,word,getting clique-y with other japanese folks,内輪っぽい、身内だけで固まる、閉鎖的なグループを作るという意味。少しネガティブ。,The team became too clique-y after the reorganization.,Active
getting clique-y with,phrase,getting clique-y with other japanese folks,特定の人たちだけで固まり、外部の人とあまり交流しない状態になること。,People can get clique-y when they feel insecure.,Active
not-Japan,phrase,when they get placed in not-japan or go to not-japan for biz related conferences/events,日本ではない場所、つまり海外をカジュアルに言った表現。標準的なビジネス英語ではない。,-,Passive
bonehead generalization,phrase,Setting aside the bonehead generalization,愚かな一般化、雑で浅はかな決めつけという意味。かなり批判的で強い表現。Born headではなくbonehead。,-,Passive
bonehead,word,Setting aside the bonehead generalization,バカな、愚かな、浅はかなという意味の口語表現。相手をかなり強く批判するので使用注意。,-,Passive
generalization,word,Setting aside the bonehead generalization,個別差を無視して大きくひとくくりにすること。ここでは「日本人はこうだ」のような雑な決めつけを指す。,We should avoid broad generalizations about the Japanese market.,Active
setting aside,phrasal verb,Setting aside the bonehead generalization,その点はいったん脇に置くとして、という意味。議論の前提を一時的に外すときに使う。,"Setting aside the pricing issue, the proposal looks reasonable.",Script
to the extent it's true,sentence pattern,"To the extent it's true, it's mostly just a self-fulfilling prophecy.",それが本当だとしても、その範囲では、という慎重な言い方。全面的に認めず、限定的に受け入れる表現。,"To the extent this is true, we need to adjust our sales process.",Script
self-fulfilling prophecy,idiom,it's mostly just a self-fulfilling prophecy.,そう思い込むことで行動が変わり、結果的にその思い込みが現実化すること。,"If we assume Japan is impossible, it becomes a self-fulfilling prophecy.",Active
prophecy,word,it's mostly just a self-fulfilling prophecy.,予言。単体よりもself-fulfilling prophecyとして覚える方が実用的。,-,Passive
